Molecular,row.ID,row.m.z,row.retention.time,DC_1.Peak.area,DC_2.Peak.area,DC_3.Peak.area,DC_4.Peak.area,DC_5.Peak.area,DC_6.Peak.area,DE_1.Peak.area,DE_2.Peak.area,DE_3.Peak.area,DE_4.Peak.area,DE_5.Peak.area,DE_6.Peak.area,RC_1.Peak.area,RC_2.Peak.area,RC_3.Peak.area,RC_4.Peak.area,RC_5.Peak.area,RC_6.Peak.area,RE_1.Peak.area,RE_2.Peak.area,RE_3.Peak.area,RE_4.Peak.area,RE_5.Peak.area,RE_6.Peak.area,U_1.Peak.area,U_2.Peak.area,U_3.Peak.area,U_4.Peak.area,U_5.Peak.area,U_6.Peak.area,NA.,ID_Ranked,Intensity_Ranked,Class_At_Max_Intensity,Adduct_At_Max_Intensity,Only_One_Class,Molecular,Adducts Confirmed by MS/MS
PC(16:0_18:3),81,800.5422768,14.98265,23697237.9,20705805.17,20168312.91,19927533.77,19839767.5,21328130.29,21332638.84,19545803.53,21599938.44,18802211.98,19368315.34,21468339.13,18585409.37,19766274.38,16181060.01,20408966.96,22025866.34,22173731.24,20733237.62,19159795.31,20771830.52,18589287.18,23336123.82,19749388.83,3416412.609,2961391.785,2889248.822,2658191.524,3071553.491,2108220.104,NA,1_PC(16:0_18:3)+HCO2,340683,PC,[M+HCO2]-,Yes,PC(16:0_18:3),[M+HCO2]-|[M+H]+
PC(18:0_20:4),92,854.5886708,16.49408333,11846241.64,10768652.15,10052383.78,10614649.93,10600465.57,11266970.68,11574960.01,10500181.96,12030081.77,11128289.66,11027302.26,11056323.18,8080919.027,8537017.767,7384122.361,9461860.614,9655352.379,9792305.124,10161628.1,9724754.989,9373839.384,9537900.742,10282259.62,9715848.181,2148320.066,2492537.976,2364138.003,2593614.497,2902959.308,2186365.609,NA,1_PC(18:0_20:4)+HCO2 | 1_PC(16:0_22:4)+HCO2,294489.94 | 150374.54,PC,[M+HCO2]-,Yes,PC(18:0_20:4),[M+HCO2]-
PC(18:1_18:1),154,830.5889712,16.77253333,243589264.4,214939704.6,235092741.5,229363931.8,210222353.1,218274444.2,235994147.5,217495463.2,236150592.5,212096712.9,209483034.9,236660349.4,223505245.7,237656549.9,225582610.6,216964404.4,237262489.6,231825441.1,218011581.8,216880866.7,221484347,200547828.7,221484824.9,205711343.5,157363031.3,160923043.7,157043173.1,155436493.8,176519795.8,144792436.1,NA,1_PC(18:1_18:1)+HCO2 | 1_PC(18:0_18:2)+HCO2,3534943.09 | 2492393.51,PC,[M+HCO2]-,Yes,PC(18:1_18:1),[M+HCO2]-|[M+H]+
PE(16:0_18:3),71,712.489816,15.3243,34431489.69,27083476.97,29796334.78,29692358.18,27517188.19,32045659.26,30043921.01,28669869.02,31506044.67,27867184.78,28432186.36,34577973.83,24011736.55,28815154.85,25582382.12,29899185.22,30689726.99,30409236.17,31027508.7,29170469.65,30216269.97,28121495.67,29431350.76,29947648.95,2283845.588,2279231.571,1782929.802,2412627.323,2545353.512,2046511.742,NA,1_PE(16:0_18:3)-H | 1_CL(16:0_16:0_18:2_20:3)-2H,357423.08 | 169448.43,PE,[M-H]-,No,PE(16:0_18:3),[M-H]-|[M+H]+
PE(16:0_20:5),176,738.5054808,15.35648333,75394760.86,62089019.83,58932562.25,66252163.21,66000425.65,76849887.44,73355004.16,72391927.88,74308702.5,76551544.35,74172727.46,80670401.91,37052788.49,50138432.3,39235913.84,64207074.37,58750474.83,61574766.48,72481824.94,64842432.1,69650421.84,68898047.15,68694474.75,73294645.22,13376099.8,12450403.53,13348985.59,14511710.92,13458482.79,13471120.04,NA,1_PE(16:0_20:5)+H | 3_PE(36:5)+H,1551733.6 | 1289081.7,PE,[M+H]+,Yes,PE(16:0_20:5),[M+H]+
PE(16:0_20:4),123,738.5054777,16.02066667,44231946,35980879.99,36190612.65,38160594.76,34196624.53,39936478.2,40425006.58,38055655.59,43765773.64,38443375.4,37769234.23,44990399.56,24983913.04,31064423.17,25822411.11,34842380.29,36131313.57,36473036.56,39258722.45,35048775.84,37290605.14,34631561.75,36942715.4,37176906.06,86847075.29,87436959.77,81910450.14,87330341.37,90072740.65,81505375.72,NA,1_PE(16:0_20:4)-H,292578.7,PE,[M-H]-,Yes,PE(16:0_20:4),[M-H]-|[M+H]+
PE(16:0_18:2),104,714.5055108,16.02066667,117280983.7,95255175.82,105420492.5,111276649.7,95608499.52,106105764.7,106518202.6,101088326.8,110490083.8,101275634.5,99412931.77,119446383.4,88861268.62,105237413.3,98217696.33,105110585.3,112591135,108021313.3,108462351.7,103901407.3,106444066.7,97455804.59,101132083.9,102363491.3,41021993.19,41016075.59,38039920.75,40485861.22,42502637.25,37536573.7,NA,1_PE(16:0_18:2)-H | 1_CL(16:0_18:1_18:1_18:1)-2H | 1_PE(16:1_18:1)-H | 1_DMPE(16:1_16:1)-H,1333244.11 | 409537.4 | 388853.44 | 223752.63,PE,[M-H]-,No,PE(16:0_18:2),[M-H]-|[M+H]+
PE(16:0_18:1),107,716.5212297,16.7531,351483365.3,294691484.4,340105476.8,341272763.8,306660955.8,323989074.6,326535793.9,320953121.9,337469916.7,311293585.5,309651706.9,355100580.1,322771254.7,354112321.6,341197812.1,323965876.1,362734232.2,345063623.5,333978061.5,325824282.3,330077760.7,307987126.3,327527476.3,320048558.2,157775464.7,159717477.8,147140650.4,154495014.1,162325897.1,148382554.9,NA,1_PE(16:0_18:1)-H | 1_CL(16:0_18:0_18:0_18:1)-2H | 1_DMPE(16:0_16:1)-H | 1_PE(16:1_18:0)-H | 1_CL(18:0_18:0_16:1_18:0)-2H,2381749.09 | 2283672.59 | 877245.2 | 434075.17 | 352815.59,PE,[M-H]-,No,PE(16:0_18:1),[M-H]-|[M+H]+
PE(16:0_22:4),317,768.553342,16.8036,51058688.1,28874402.43,46296071.52,57282992.4,46333140.98,63569561.82,34325182.36,38950768.38,21392978.14,32960196.53,22778793,54401725.44,25284482.31,32005669.54,31398284.63,57723861.33,43805643.65,55268097.73,48515434.86,45596732.2,32772875.66,42082638.38,37174976.11,38908521.71,139376690.7,145466040.8,140177930.7,157795544.3,145405531.5,137380966.9,NA,1_PE(16:0_22:4)+H | 3_PE(38:4)+H,5209700.17 | 5179254,PE,[M+H]+,Yes,PE(16:0_22:4),[M+H]+
PE(17:0_18:1),157,732.5533237,17.24766667,47026625.55,41152320.4,43029723.76,49750220.35,45287625.82,46954250.7,39839767.04,39137405.92,40428484.45,40084205.51,41094095.89,45005212.27,42286939.02,43803365.41,44506374.59,46739584.64,46629961.34,45961087.57,42736581.26,44006555.67,43649661.8,42119862.77,41238725.47,44143829.93,3115404.698,5077652.862,4700551.895,2660736.902,5596469.292,5218754.304,NA,1_PE(17:0_18:1)+H | 3_PE(35:1)+H | 1_PC(14:0_18:1)+H,3724282.14 | 3570519 | 832473.81,PE,[M+H]+,No,PE(17:0_18:1),[M+H]+
